Image Name,Time,Emotion
img4 (7199).jpg,2023-04-30 01:14:47.943373,Angry
img4 (72).jpg,2023-04-30 01:14:47.948376,Neutral
img4 (720).jpg,2023-04-30 01:14:47.953376,Sad
img4 (7200).jpg,2023-04-30 01:14:47.958377,Sad
img4 (7201).jpg,2023-04-30 01:14:47.963378,Sad
img4 (7202).jpg,2023-04-30 01:14:47.968379,Angry
img4 (7203).jpg,2023-04-30 01:14:47.972380,Sad
img4 (7204).jpg,2023-04-30 01:14:47.978409,Sad
img4 (7205).jpg,2023-04-30 01:14:47.983190,Sad
img4 (7206).jpg,2023-04-30 01:14:47.987190,Sad
img4 (7207).jpg,2023-04-30 01:14:47.992192,Happy
img4 (7208).jpg,2023-04-30 01:14:47.997228,Sad
img4 (7209).jpg,2023-04-30 01:14:48.001229,Angry
img4 (721).jpg,2023-04-30 01:14:48.006807,Fear
img4 (7210).jpg,2023-04-30 01:14:48.011561,Neutral
img4 (7211).jpg,2023-04-30 01:14:48.015324,Angry
img4 (7212).jpg,2023-04-30 01:14:48.021011,Sad
img4 (7213).jpg,2023-04-30 01:14:48.024747,Sad
img4 (7214).jpg,2023-04-30 01:14:48.029748,Angry
img4 (7215).jpg,2023-04-30 01:14:48.034749,Sad
img4 (7216).jpg,2023-04-30 01:14:48.039591,Sad
img4 (7217).jpg,2023-04-30 01:14:48.043784,Sad
img4 (7218).jpg,2023-04-30 01:14:48.048785,Sad
img4 (7219).jpg,2023-04-30 01:14:48.053786,Neutral
img4 (722).jpg,2023-04-30 01:14:48.058920,Sad
img4 (7220).jpg,2023-04-30 01:14:48.063854,Sad
img4 (7221).jpg,2023-04-30 01:14:48.068001,Sad
img4 (7222).jpg,2023-04-30 01:14:48.073002,Happy
img4 (7223).jpg,2023-04-30 01:14:48.077797,Sad
img4 (7224).jpg,2023-04-30 01:14:48.082798,Sad
img4 (7225).jpg,2023-04-30 01:14:48.087099,Sad
img4 (7226).jpg,2023-04-30 01:14:48.091733,Neutral
img4 (7227).jpg,2023-04-30 01:14:48.096734,Sad
img4 (7228).jpg,2023-04-30 01:14:48.101276,Angry
img4 (7229).jpg,2023-04-30 01:14:48.105730,Neutral
img4 (723).jpg,2023-04-30 01:14:48.110418,Sad
img4 (7230).jpg,2023-04-30 01:14:48.115419,Sad
img4 (7231).jpg,2023-04-30 01:14:48.120420,Sad
img4 (7232).jpg,2023-04-30 01:14:48.125276,Sad
img4 (7233).jpg,2023-04-30 01:14:48.129759,Sad
img4 (7234).jpg,2023-04-30 01:14:48.134761,Sad
img4 (7235).jpg,2023-04-30 01:14:48.139364,Sad
img4 (7236).jpg,2023-04-30 01:14:48.144365,Happy
img4 (7237).jpg,2023-04-30 01:14:48.149529,Neutral
img4 (7238).jpg,2023-04-30 01:14:48.154533,Sad
img4 (7239).jpg,2023-04-30 01:14:48.159535,Angry
img4 (724).jpg,2023-04-30 01:14:48.163538,Neutral
img4 (7240).jpg,2023-04-30 01:14:48.168299,Sad
img4 (7241).jpg,2023-04-30 01:14:48.172589,Neutral
img4 (7242).jpg,2023-04-30 01:14:48.177590,Sad
img4 (7243).jpg,2023-04-30 01:14:48.182591,Neutral
img4 (7244).jpg,2023-04-30 01:14:48.187139,Fear
img4 (7245).jpg,2023-04-30 01:14:48.192042,Sad
img4 (7246).jpg,2023-04-30 01:14:48.196677,Neutral
img4 (7247).jpg,2023-04-30 01:14:48.201323,Happy
img4 (7248).jpg,2023-04-30 01:14:48.206323,Neutral
img4 (7249).jpg,2023-04-30 01:14:48.210327,Sad
img4 (725).jpg,2023-04-30 01:14:48.215042,Sad
img4 (7250).jpg,2023-04-30 01:14:48.220043,Sad
img4 (7251).jpg,2023-04-30 01:14:48.224959,Sad
img4 (7252).jpg,2023-04-30 01:14:48.229611,Neutral
img4 (7253).jpg,2023-04-30 01:14:48.234612,Sad
img4 (7254).jpg,2023-04-30 01:14:48.273659,Neutral
img4 (7255).jpg,2023-04-30 01:14:48.278660,Sad
img4 (7256).jpg,2023-04-30 01:14:48.284264,Sad
img4 (7257).jpg,2023-04-30 01:14:48.289328,Sad
img4 (7258).jpg,2023-04-30 01:14:48.293456,Sad
img4 (7259).jpg,2023-04-30 01:14:48.298458,Sad
